file_name,file_path,camera_angle,identity,race,gender,true_label,gaze,is_padding,prediction,query_file_path,top_label_1,top_label_2,top_path_1,top_path_2,top_cosine_1,top_cosine_2
Rafd180_52_Moroccan_male_neutral_left.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd180_52_Moroccan_male_neutral_left_cropped.jpg,Rafd180,52,Moroccan,male,neutral,left,True,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd180_52_Moroccan_male_neutral_left_cropped.jpg,neutral,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd000_21_Caucasian_male_neutral_right_cropped.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd135_16_Caucasian_female_neutral_frontal_cropped.jpg,0.9851924777030945,0.9845966696739197
Rafd000_56_Caucasian_female_contemptuous_left.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd000_56_Caucasian_female_contemptuous_left_cropped.jpg,Rafd000,56,Caucasian,female,contempt,left,True,contempt,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd000_56_Caucasian_female_contemptuous_left_cropped.jpg,contempt,contempt,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd045_71_Caucasian_male_contemptuous_right_cropped.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd090_42_Kid_male_contemptuous_right_cropped.jpg,0.9889336824417114,0.986441969871521
Rafd000_67_Moroccan_male_contemptuous_left.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd000_67_Moroccan_male_contemptuous_left_cropped.jpg,Rafd000,67,Moroccan,male,contempt,left,True,contempt,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd000_67_Moroccan_male_contemptuous_left_cropped.jpg,contempt,contempt,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd000_49_Caucasian_male_contemptuous_right_cropped.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd000_49_Caucasian_male_contemptuous_left_cropped.jpg,0.9716289043426514,0.9639701843261719
Rafd090_01_Caucasian_female_happy_frontal.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd090_01_Caucasian_female_happy_frontal_cropped.jpg,Rafd090,1,Caucasian,female,happy,frontal,False,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd090_01_Caucasian_female_happy_frontal_cropped.jpg,happy,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd090_40_Kid_male_happy_left_cropped.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd090_18_Caucasian_female_happy_frontal_cropped.jpg,0.986358106136322,0.9849770069122314
Rafd180_11_Kid_female_surprised_frontal.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd180_11_Kid_female_surprised_frontal_cropped.jpg,Rafd180,11,Kid,female,surprise,frontal,True,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd180_11_Kid_female_surprised_frontal_cropped.jpg,surprise,surprise,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd000_57_Caucasian_female_surprised_frontal_cropped.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd135_57_Caucasian_female_surprised_right_cropped.jpg,0.9842749834060669,0.9839760065078735
Rafd045_70_Moroccan_male_neutral_frontal.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd045_70_Moroccan_male_neutral_frontal_cropped.jpg,Rafd045,70,Moroccan,male,neutral,frontal,True,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd045_70_Moroccan_male_neutral_frontal_cropped.jpg,neutral,contempt,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd000_50_Moroccan_male_neutral_right_cropped.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd000_32_Caucasian_female_contemptuous_right_cropped.jpg,0.9488803148269653,0.9394710659980774
Rafd135_64_Kid_female_sad_frontal.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd135_64_Kid_female_sad_frontal_cropped.jpg,Rafd135,64,Kid,female,sad,frontal,False,sad,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd135_64_Kid_female_sad_frontal_cropped.jpg,sad,sad,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd045_42_Kid_male_sad_left_cropped.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd090_36_Caucasian_male_sad_right_cropped.jpg,0.9970901012420654,0.9903309345245361
Rafd000_67_Moroccan_male_neutral_left.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd000_67_Moroccan_male_neutral_left_cropped.jpg,Rafd000,67,Moroccan,male,neutral,left,True,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd000_67_Moroccan_male_neutral_left_cropped.jpg,neutral,neutral,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd180_35_Moroccan_male_neutral_left_cropped.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd180_35_Moroccan_male_neutral_frontal_cropped.jpg,0.9566614031791687,0.9520018696784973
Rafd090_52_Moroccan_male_angry_frontal.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd090_52_Moroccan_male_angry_frontal_cropped.jpg,Rafd090,52,Moroccan,male,angry,frontal,False,angry,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd090_52_Moroccan_male_angry_frontal_cropped.jpg,angry,angry,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd135_28_Caucasian_male_angry_frontal_cropped.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd045_33_Caucasian_male_angry_right_cropped.jpg,0.9654278755187988,0.9508614540100098
Rafd090_69_Moroccan_male_happy_left.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd090_69_Moroccan_male_happy_left_cropped.jpg,Rafd090,69,Moroccan,male,happy,left,False,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd090_69_Moroccan_male_happy_left_cropped.jpg,happy,happy,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd090_31_Caucasian_female_happy_frontal_cropped.jpg,/gpfs0/bgu-vilenchi/users/sdolev/Thesis/VLMs/data/RAFD/rafd_images_cropped/Rafd180_65_Kid_female_happy_frontal_cropped.jpg,0.9919602870941162,0.9909661412239075
